subject,gender,sentence,context,pitch
F1,female,S1,formal,214.6
F1,female,S1,informal,210.9
F1,female,S2,formal,284.7
F1,female,S2,informal,265.6
F1,female,S3,formal,210.6
F1,female,S3,informal,285.6
F1,female,S4,formal,251.5
F1,female,S4,informal,281.5
F1,female,S5,formal,229.6
F1,female,S5,informal,250.5
F1,female,S6,formal,181.1
F1,female,S6,informal,229.3
F1,female,S7,informal,219.8
F1,female,S7,formal,175.8
F2,female,S1,formal,232.7
F2,female,S1,informal,231.3
F2,female,S2,formal,246.3
F2,female,S2,informal,259.7
F2,female,S3,formal,289.4
F2,female,S3,informal,301.8
F2,female,S4,formal,243.2
F2,female,S4,informal,296.2
F2,female,S5,formal,277.7
F2,female,S5,informal,294.2
F2,female,S6,formal,208
F2,female,S6,informal,225.9
F2,female,S7,informal,281
F2,female,S7,formal,227.2
F3,female,S1,formal,229.3
F3,female,S1,informal,236.7
F3,female,S2,formal,240.8
F3,female,S2,informal,248.9
F3,female,S3,formal,266.8
F3,female,S3,informal,264.4
F3,female,S4,formal,275.3
F3,female,S4,informal,307.3
F3,female,S5,formal,231
F3,female,S5,informal,253.5
F3,female,S6,formal,224.7
F3,female,S6,informal,278.6
F3,female,S7,informal,265.5
F3,female,S7,formal,191.1
F4,female,S1,formal,113.3
F4,female,S1,informal,213.6
F4,female,S2,formal,202.1
F4,female,S2,informal,253.6
F4,female,S3,formal,194.8
F4,female,S3,informal,NA
F4,female,S4,formal,268.7
F4,female,S4,informal,NA
F4,female,S5,formal,227.1
F4,female,S5,informal,193.1
F4,female,S6,formal,205.2
F4,female,S6,informal,237.5
F4,female,S7,informal,220.4
F4,female,S7,formal,NA
F5,female,S1,formal,273.6
F5,female,S1,informal,257.1
F5,female,S2,formal,407.3
F5,female,S2,informal,356
F5,female,S3,formal,257.1
F5,female,S3,informal,415.8
F5,female,S4,formal,217.8
F5,female,S4,informal,323.5
F5,female,S5,formal,402.2
F5,female,S5,informal,257.1
F5,female,S6,formal,240.2
F5,female,S6,informal,267.9
F5,female,S7,informal,259.9
F5,female,S7,formal,253.7
F6,female,S1,formal,218.8
F6,female,S1,informal,232.9
F6,female,S2,formal,189.8
F6,female,S2,informal,229.2
F6,female,S3,formal,212.4
F6,female,S3,informal,205.8
F6,female,S4,formal,215.5
F6,female,S4,informal,NA
F6,female,S5,formal,236.7
F6,female,S5,informal,NA
F6,female,S6,formal,189.1
F6,female,S6,informal,272.8
F6,female,S7,informal,209.2
F6,female,S7,formal,286.1
F7,female,S1,formal,250.6
F7,female,S1,informal,229.8
F7,female,S2,formal,202.4
F7,female,S2,informal,236.2
F7,female,S3,formal,248.7
F7,female,S3,informal,240.5
F7,female,S4,formal,276.4
F7,female,S4,informal,240.8
F7,female,S5,formal,241.5
F7,female,S5,informal,248.8
F7,female,S6,formal,236.2
F7,female,S6,informal,246.6
F7,female,S7,informal,215.5
F7,female,S7,formal,231.9
F8,female,S1,formal,229.8
F8,female,S1,informal,240.2
F8,female,S2,formal,227.1
F8,female,S2,informal,241.5
F8,female,S3,formal,215.8
F8,female,S3,informal,253.8
F8,female,S4,formal,242.9
F8,female,S4,informal,245.3
F8,female,S5,formal,217.2
F8,female,S5,informal,275.4
F8,female,S6,formal,279.1
F8,female,S6,informal,212.3
F8,female,S7,informal,213.7
F8,female,S7,formal,227.7
F9,female,S1,formal,207.5
F9,female,S1,informal,319.7
F9,female,S2,formal,222.8
F9,female,S2,informal,338.3
F9,female,S3,formal,220.4
F9,female,S3,informal,262.2
F9,female,S4,formal,288.2
F9,female,S4,informal,256.4
F9,female,S5,formal,283.3
F9,female,S5,informal,267.5
F9,female,S6,formal,244.7
F9,female,S6,informal,210.7
F9,female,S7,informal,252.1
F9,female,S7,formal,279.6
M1,male,S1,formal,108.3
M1,male,S1,informal,147.4
M1,male,S2,formal,141
M1,male,S2,informal,146
M1,male,S3,formal,153.3
M1,male,S3,informal,225
M1,male,S4,formal,145.6
M1,male,S4,informal,185.6
M1,male,S5,formal,162.2
M1,male,S5,informal,142.7
M1,male,S6,formal,138
M1,male,S6,informal,156.9
M1,male,S7,informal,138.7
M1,male,S7,formal,179.9
M2,male,S1,formal,111.7
M2,male,S1,informal,124.5
M2,male,S2,formal,120.5
M2,male,S2,informal,NA
M2,male,S3,formal,NA
M2,male,S3,informal,NA
M2,male,S4,formal,134.9
M2,male,S4,informal,NA
M2,male,S5,formal,131.8
M2,male,S5,informal,133.2
M2,male,S6,formal,109.2
M2,male,S6,informal,103
M2,male,S7,informal,136.3
M2,male,S7,formal,117.2
M3,male,S1,formal,153.8
M3,male,S1,informal,188.8
M3,male,S2,formal,142.4
M3,male,S2,informal,199.7
M3,male,S3,formal,160.2
M3,male,S3,informal,186.1
M3,male,S4,formal,207.5
M3,male,S4,informal,190.9
M3,male,S5,formal,160.7
M3,male,S5,informal,156.5
M3,male,S6,formal,146.7
M3,male,S6,informal,158
M3,male,S7,informal,161.1
M3,male,S7,formal,153.3
M4,male,S1,formal,111.3
M4,male,S1,informal,123.1
M4,male,S2,formal,229.2
M4,male,S2,informal,115.5
M4,male,S3,formal,124.6
M4,male,S3,informal,213.5
M4,male,S4,formal,193.3
M4,male,S4,informal,165
M4,male,S5,formal,101.2
M4,male,S5,informal,127
M4,male,S6,formal,NA
M4,male,S6,informal,137.4
M4,male,S7,informal,145.1
M4,male,S7,formal,168
M5,male,S1,formal,87.7
M5,male,S1,informal,100.1
M5,male,S2,formal,90
M5,male,S2,informal,108.1
M5,male,S3,formal,96.8
M5,male,S3,informal,139.2
M5,male,S4,formal,86.5
M5,male,S4,informal,99.5
M5,male,S5,formal,92.8
M5,male,S5,informal,93.2
M5,male,S6,formal,86.8
M5,male,S6,informal,117.3
M5,male,S7,informal,94.2
M5,male,S7,formal,109.2
M6,male,S1,formal,NA
M6,male,S1,informal,107.4
M6,male,S2,formal,NA
M6,male,S2,informal,106.4
M6,male,S3,formal,104.6
M6,male,S3,informal,131.3
M6,male,S4,formal,118.5
M6,male,S4,informal,157.4
M6,male,S5,formal,116.5
M6,male,S5,informal,113.2
M6,male,S6,formal,114.7
M6,male,S6,informal,110.5
M6,male,S7,informal,125
M6,male,S7,formal,108
M7,male,S1,formal,87
M7,male,S1,informal,98.8
M7,male,S2,formal,80.8
M7,male,S2,informal,118.7
M7,male,S3,formal,86.3
M7,male,S3,informal,111.2
M7,male,S4,formal,102.1
M7,male,S4,informal,135
M7,male,S5,formal,92.6
M7,male,S5,informal,103.2
M7,male,S6,formal,108.7
M7,male,S6,informal,107.7
M7,male,S7,informal,123.2
M7,male,S7,formal,107.4